#TYPE System.Management.Automation.PSCustomObject
"Time","Computer","ResponseTime"
"2020-04-17 17:10:48","192.168.98.253","0"
"2020-04-17 17:16:46","192.168.98.253","0"
"2020-04-17 17:16:49","192.168.98.253","0"
"2020-04-17 17:16:50","192.168.98.253","0"
"2020-04-17 17:16:51","192.168.98.253","0"
"2020-04-17 17:16:52","192.168.98.253","0"
