#TYPE System.Management.Automation.PSCustomObject
"Time","Computer","ResponseTime"
"2020-04-17 11:58:31","192.168.98.1","2"
"2020-04-17 11:58:33","192.168.98.1","1"
"2020-04-17 11:58:35","192.168.98.1","2"
"2020-04-17 11:58:36","192.168.98.1","1"
"2020-04-17 11:58:37","192.168.98.1","1"
"2020-04-17 11:58:38","192.168.98.1","2"
"2020-04-17 11:58:39","192.168.98.1","1"
"2020-04-17 11:58:41","192.168.98.1","2"
"2020-04-17 11:58:42","192.168.98.1","1"
"2020-04-17 11:58:43","192.168.98.1","1"
"2020-04-17 11:58:44","192.168.98.1","2"
"2020-04-17 11:58:45","192.168.98.1","1"
"2020-04-17 11:58:47","192.168.98.1","3"
"2020-04-17 11:58:48","192.168.98.1","1"
"2020-04-17 11:58:49","192.168.98.1","1"
"2020-04-17 11:58:50","192.168.98.1","1"
"2020-04-17 11:58:51","192.168.98.1","1"
"2020-04-17 11:58:53","192.168.98.1","1"
"2020-04-17 11:58:54","192.168.98.1","1"
"2020-04-17 11:58:55","192.168.98.1","1"
"2020-04-17 11:58:56","192.168.98.1","1"
"2020-04-17 11:58:57","192.168.98.1","2"
"2020-04-17 11:58:59","192.168.98.1","2"
"2020-04-17 11:59:00","192.168.98.1","20"
"2020-04-17 11:59:01","192.168.98.1","8"
"2020-04-17 11:59:02","192.168.98.1","2"
"2020-04-17 11:59:04","192.168.98.1","1"
"2020-04-17 11:59:05","192.168.98.1","2"
"2020-04-17 11:59:06","192.168.98.1","21"
"2020-04-17 11:59:07","192.168.98.1","44"
"2020-04-17 11:59:09","192.168.98.1","1"
"2020-04-17 11:59:10","192.168.98.1","1"
"2020-04-17 11:59:12","192.168.98.1","39"
"2020-04-17 11:59:13","192.168.98.1","1"
"2020-04-17 11:59:14","192.168.98.1","1"
"2020-04-17 11:59:15","192.168.98.1","28"
"2020-04-17 11:59:16","192.168.98.1","1"
"2020-04-17 11:59:18","192.168.98.1","1"
"2020-04-17 11:59:20","192.168.98.1","1"
"2020-04-17 11:59:21","192.168.98.1","1"
"2020-04-17 11:59:22","192.168.98.1","4"
"2020-04-17 11:59:23","192.168.98.1","2"
"2020-04-17 16:56:07","192.168.98.1","2"
"2020-04-17 16:56:09","192.168.98.1","2"
"2020-04-17 16:56:11","192.168.98.1","2"
"2020-04-17 16:56:12","192.168.98.1","2"
"2020-04-17 16:56:13","192.168.98.1","1"
"2020-04-17 16:56:14","192.168.98.1","2"
"2020-04-17 16:57:38","192.168.98.1","54"
"2020-04-17 16:57:41","192.168.98.1","2"
"2020-04-17 16:57:42","192.168.98.1","39"
"2020-04-17 16:57:43","192.168.98.1","1"
"2020-04-17 16:57:44","192.168.98.1","1"
"2020-04-17 16:57:46","192.168.98.1","15"
"2020-04-17 16:57:47","192.168.98.1","32"
"2020-04-17 16:59:16","192.168.98.1","1"
