#TYPE System.Management.Automation.PSCustomObject
"Time","Computer","ResponseTime"
"2020-04-17 17:17:51","8.8.8.8","22"
"2020-04-17 17:17:53","8.8.8.8","23"
"2020-04-17 17:17:54","8.8.8.8","22"
"2020-04-17 17:17:55","8.8.8.8","22"
"2020-04-17 17:17:56","8.8.8.8","21"
"2020-04-17 17:17:58","8.8.8.8","21"
"2020-04-17 17:17:59","8.8.8.8","24"
"2020-04-17 17:18:00","8.8.8.8","23"
"2020-04-17 17:18:01","8.8.8.8","22"
"2020-04-17 17:18:02","8.8.8.8","22"
"2020-04-17 17:18:04","8.8.8.8","23"
"2020-04-17 17:18:05","8.8.8.8","24"
"2020-04-17 17:18:06","8.8.8.8","21"
"2020-04-17 17:18:07","8.8.8.8","23"
"2020-04-17 17:18:08","8.8.8.8","24"
"2020-04-17 17:18:10","8.8.8.8","75"
"2020-04-17 17:18:11","8.8.8.8","21"
"2020-04-17 17:18:12","8.8.8.8","22"
"2020-04-17 17:18:13","8.8.8.8","39"
"2020-04-17 17:18:15","8.8.8.8","19"
"2020-04-17 17:18:16","8.8.8.8","22"
"2020-04-17 17:18:17","8.8.8.8","27"
"2020-04-17 17:18:18","8.8.8.8","21"
"2020-04-17 17:18:20","8.8.8.8","21"
"2020-04-17 17:18:21","8.8.8.8","29"
"2020-04-17 17:18:22","8.8.8.8","24"
"2020-04-17 17:18:23","8.8.8.8","22"
"2020-04-17 17:18:24","8.8.8.8","22"
"2020-04-17 17:18:26","8.8.8.8","22"
"2020-04-17 17:18:27","8.8.8.8","26"
"2020-04-17 17:18:28","8.8.8.8","21"
"2020-04-17 17:18:29","8.8.8.8","42"
"2020-04-17 17:18:31","8.8.8.8","544"
"2020-04-17 17:18:36","8.8.8.8","144"
"2020-04-17 17:18:37","8.8.8.8","50"
"2020-04-17 17:18:39","8.8.8.8","21"
"2020-04-17 17:18:40","8.8.8.8","33"
"2020-04-17 17:18:42","8.8.8.8","102"
