#TYPE System.Management.Automation.PSCustomObject
"Time","Computer","ResponseTime"
"2020-04-17 17:05:07","192.168.98.1","3"
"2020-04-17 17:05:10","192.168.98.1","4"
"2020-04-17 17:05:11","192.168.98.1","1"
"2020-04-17 17:05:12","192.168.98.1","1"
"2020-04-17 17:05:13","192.168.98.1","2"
